yearID,lgID,total_outs,total_runs,era,DH_rule
2008,NL,69406,11976,4.658847938218598,No
2023,NL,64529,11322,4.737311906274699,Yes
1948,NL,32867,5474,4.496850944716585,No
1981,NL,34906,5035,3.8946026471093793,No
2014,AL,65396,10052,4.1501620894244295,Yes
1993,AL,60667,10674,4.7504903819209785,Yes
1959,NL,33142,5462,4.449761631766339,No
1972,NL,50390,7265,3.8927366540980355,No
1946,AL,33186,5037,4.0980835291990605,No
1967,AL,43805,5992,3.6932770231708707,No
1979,AL,60155,10527,4.724943894938076,Yes
1952,NL,33083,5158,4.209594051325454,No
2002,AL,60492,10862,4.848145209283873,Yes
1975,AL,51821,8281,4.31460218830204,Yes
2023,AL,64733,11110,4.633957950349899,Yes
2022,AL,64676,10215,4.264410291298163,Yes
1958,NL,33077,5419,4.423405992079088,No
1966,AL,43478,6276,3.897419384516307,No
2001,NL,69223,12186,4.753073400459385,No
2011,AL,60850,10036,4.453114215283484,Yes
1980,NL,52589,7852,4.031337351917701,No
1992,AL,60987,9802,4.339514978601997,Yes
1984,AL,60840,10027,4.4498520710059175,Yes
1965,AL,43618,6388,3.9542390756109858,No
1991,NL,52163,7955,4.1175737591779615,No
1956,NL,33190,5275,4.291202169328111,No
1960,NL,33361,5250,4.248973352117742,No
2013,NL,65542,9819,4.044933020048213,No
2018,NL,65485,10555,4.3519126517523095,No
1982,AL,61005,10163,4.498008359970494,Yes
1960,AL,33249,5414,4.396463051520347,No
1963,NL,43661,6181,3.8223357229564145,No
1999,NL,69404,12838,4.994323093769812,No
1971,AL,51874,7472,3.889115934765007,No
2005,NL,69157,11709,4.571381060485562,No
1979,NL,52280,8186,4.227658760520276,No
1954,NL,33065,5624,4.592408891577197,No
1993,NL,60854,10190,4.521148979524764,No
1977,NL,52545,8556,4.39646017699115,No
2019,AL,65072,12018,4.986568723875092,Yes
1947,NL,32902,5669,4.652088018965412,No
1991,AL,61146,10172,4.491610244333235,Yes
2015,AL,65083,10422,4.323617534532827,Yes
1982,NL,52630,7947,4.07693330799924,No
1984,NL,52274,7894,4.077323334736198,No
1959,AL,33159,5391,4.389667963448837,No
1996,AL,60815,12208,5.419978623694812,Yes
2010,NL,69265,11281,4.397415722226232,No
1972,AL,49961,6441,3.4808550669522225,No
1965,NL,43929,6558,4.030731407498464,No
1995,AL,53928,10225,5.1193257676902535,Yes
2018,AL,64982,11075,4.60165892093195,Yes
2012,NL,69211,11037,4.305659504991981,No
1987,AL,60587,11112,4.9519533893409475,Yes
2007,AL,60535,10934,4.876815065664492,Yes
2000,NL,69310,13021,5.072384937238494,No
1985,NL,52424,7899,4.068232107431711,No
2013,AL,65418,10436,4.307254883976887,Yes
1997,AL,60595,11177,4.980262397887614,Yes
2022,NL,64550,10602,4.434608830364058,No
1954,AL,33315,5203,4.216749212066636,No
1956,AL,33095,5756,4.695935941985194,No
2017,AL,64892,11337,4.71705294951612,Yes
1986,AL,60610,10449,4.654726942748721,Yes
2006,AL,60363,11041,4.938571641568511,Yes
1964,AL,43845,6607,4.0686281217926785,No
1964,NL,43570,6517,4.038535689694744,No
1976,AL,52405,7753,3.994485259040168,Yes
2004,NL,69438,12060,4.689363172902445,No
2001,AL,60639,11013,4.903626379062979,Yes
1963,AL,43655,6599,4.0813881571412205,No
1946,NL,33254,4918,3.9930835388223973,No
1955,NL,32953,5578,4.570327436045277,No
1988,NL,52442,7522,3.8727355936081764,No
1989,NL,52602,7673,3.938462415877723,No
1980,AL,60995,10201,4.5155668497417825,Yes
1950,AL,32889,6253,5.133357657575481,No
2003,AL,60675,11061,4.922076637824475,Yes
1986,NL,52413,8096,4.170568370442448,No
1957,NL,33653,5426,4.353311740409474,No
1994,NL,43070,7422,4.652751335035988,No
1968,AL,43660,5532,3.4210719193770043,No
1969,NL,52162,7890,4.08400751504927,No
2012,AL,60855,9980,4.427902390929258,Yes
1989,AL,60543,9732,4.340121896833655,Yes
1962,NL,43470,7278,4.520496894409938,No
2020,AL,23338,4159,4.8115948238923645,Yes
1973,AL,52190,8314,4.301168806284728,Yes
1968,NL,44043,5577,3.418908793678905,No
1974,AL,52346,7976,4.11401062163298,Yes
2008,AL,60667,10609,4.721561969439729,Yes
1990,NL,52144,8173,4.231953820190242,No
2006,NL,69411,12558,4.884902969270001,No
2021,AL,64048,11141,4.6965869347989,Yes
1981,AL,40379,6112,4.0868768419227814,Yes
2007,NL,69742,12388,4.795904906655961,No
2014,NL,65445,9709,4.005546642218657,No
2009,NL,69296,11626,4.529871854075272,No
1998,AL,60584,11354,5.060048857784234,Yes
1949,AL,32823,5776,4.7513024403619415,No
1969,AL,52510,7960,4.092934679108741,No
2017,NL,64879,11245,4.679711462877048,No
2002,NL,69315,11546,4.497468080502056,No
1999,AL,60230,11853,5.313481653660967,Yes
1985,AL,60552,10317,4.600326991676575,Yes
2005,AL,60540,10616,4.734588701684837,Yes
2003,NL,69331,11917,4.6409109921968525,No
1955,AL,33080,5491,4.48177146311971,No
1950,NL,33029,5760,4.7085894214175426,No
2009,AL,60520,10793,4.815118968935889,Yes
1958,AL,33072,5159,4.2118105950653115,No
2019,NL,65198,11449,4.74129574526826,No
2000,AL,60423,11950,5.339854029094881,Yes
1951,NL,33462,5552,4.479827864443249,No
1992,NL,52502,7539,3.8770523027694184,No
1987,NL,52137,8771,4.5422061108234075,No
1966,NL,43654,6624,4.096944151738673,No
1983,AL,60843,10177,4.516197426162418,Yes
1996,NL,60867,10623,4.7122578737246785,No
2016,NL,65086,10888,4.516731708816028,No
1973,NL,52446,8062,4.15044045303741,No
2020,NL,23068,4185,4.898344026356858,No
1994,AL,42689,8330,5.268570357703389,Yes
1988,AL,60561,9858,4.395006687472136,Yes
1995,NL,54168,9329,4.650033229951263,No
1962,AL,43545,7183,4.453806407165001,No
2010,AL,60651,10027,4.463718652619083,Yes
1997,NL,60767,10427,4.632925765629372,No
1953,AL,33181,5512,4.48521744371779,No
1961,AL,43280,7342,4.580268022181146,No
1952,AL,33535,5191,4.179424481884598,No
1976,NL,52372,7739,3.989784617734667,No
1951,AL,33163,5716,4.653740614540301,No
1949,NL,33293,5646,4.5788003484215904,No
2004,AL,60744,11316,5.029830106677203,Yes
2015,NL,65140,10225,4.238179306109917,No
1948,AL,32929,5838,4.7868444228491605,No
1977,AL,60672,10247,4.560077136075949,Yes
1978,NL,52000,7742,4.0198846153846155,No
1990,AL,60547,9746,4.3460782532578,Yes
1970,AL,52341,8109,4.1830114059723735,No
1983,NL,52383,7993,4.11986713246664,No
1947,AL,33228,5161,4.193661971830986,No
2016,AL,64833,10856,4.52103095645736,Yes
2021,NL,63797,10869,4.599949840901609,No
1953,NL,32915,5914,4.851222846726417,No
1970,NL,52235,8771,4.533684311285537,No
1967,NL,43748,6218,3.8375697174727987,No
1974,NL,52481,8070,4.151788266229683,No
1961,NL,33080,5600,4.570737605804111,No
1971,NL,52427,7601,3.91452877334198,No
1978,AL,60490,9509,4.244387502066457,Yes
2011,NL,69732,10772,4.1708828084667005,No
1998,NL,69720,11943,4.625086058519793,No
1957,AL,33380,5210,4.214200119832235,No
1975,NL,52351,8014,4.133216175431224,No
